codigo,preco,hora,data,variacao
"HABT11", "R$76.48","18:01:41", "02/01/2025",
"HCHG11", "R$68.66","18:01:42", "02/01/2025",
"HAAA11", "R$25.14","18:01:43", "02/01/2025",
"HAAA11", "R$25.14","18:01:44", "02/01/2025",
"HGBS11", "R$187.75","18:01:46", "02/01/2025",
"HGBS11", "R$187.75","18:01:47", "02/01/2025",
"HLOG11", "R$79.09","18:01:49", "02/01/2025",
"HOFC11", "R$24.30","18:01:50", "02/01/2025",
"HDOF11", "R$100.00","18:01:52", "02/01/2025",
"HDOF11", "R$100.00","18:01:52", "02/01/2025",
"HPDP11", "R$81.44","18:01:54", "02/01/2025",
"HGIC11", "R$75.05","18:01:56", "02/01/2025",
"HSAF11", "R$69.79","18:01:58", "02/01/2025",
"HSLG11", "R$77.65","18:01:59", "02/01/2025",
"HSML11", "R$72.65","18:02:00", "02/01/2025",
"ICNE11", "R$0.00","18:02:05", "02/01/2025",
"ICNE11", "R$0.00","18:02:06", "02/01/2025",
"ICNE11", "R$0.00","18:02:07", "02/01/2025",
"INLG11", "R$70.00","18:02:08", "02/01/2025",
"IBBP11", "R$8.75","18:02:13", "02/01/2025",
"ISCJ11", "R$90.00","18:02:15", "02/01/2025",
"IRIM11", "R$62.62","18:02:16", "02/01/2025",
"TMPS11", "R$75.87","18:02:18", "02/01/2025",
"TMPS11", "R$75.87","18:02:19", "02/01/2025",
"TMPS11", "R$75.87","18:02:19", "02/01/2025",
"TMPS11", "R$75.87","18:02:20", "02/01/2025",
"VJFD11", "R$155.02","18:02:24", "02/01/2025",
"VJFD11", "R$155.02","18:02:25", "02/01/2025",
"VJFD11", "R$155.02","18:02:26", "02/01/2025",
"JPPA11", "R$76.95","18:02:28", "02/01/2025",
"JPPA11", "R$76.95","18:02:28", "02/01/2025",
"JSRE11", "R$57.09","18:02:29", "02/01/2025",
"JSCR11", "R$79.95","18:02:32", "02/01/2025",
"JSCR11", "R$79.95","18:02:33", "02/01/2025",
"KISU11", "R$7.09","18:02:34", "02/01/2025",
"KIVO11", "R$59.56","18:02:35", "02/01/2025",
"KIVO11", "R$59.56","18:02:36", "02/01/2025",
"KIVO11", "R$59.56","18:02:36", "02/01/2025",
"KCRE11", "R$8.40","18:02:37", "02/01/2025",
"KCRE11", "R$8.40","18:02:38", "02/01/2025",
"KCRE11", "R$8.40","18:02:39", "02/01/2025",
"KNHF11", "R$82.43","18:02:39", "02/01/2025",
"KNIP11", "R$88.95","18:02:42", "02/01/2025",
"KORE11", "R$80.95","18:02:45", "02/01/2025",
"KORE11", "R$80.95","18:02:46", "02/01/2025",
"KORE11", "R$80.95","18:02:47", "02/01/2025",
"KORE11", "R$80.95","18:02:47", "02/01/2025",
"KORE11", "R$80.95","18:02:48", "02/01/2025",
"KNSC11", "R$8.77","18:02:49", "02/01/2025",
"KNUQ11", "R$101.25","18:02:49", "02/01/2025",
"KNUQ11", "R$101.25","18:02:50", "02/01/2025",
"KNUQ11", "R$101.25","18:02:51", "02/01/2025",
"KNUQ11", "R$101.25","18:02:52", "02/01/2025",
"KNUQ11", "R$101.25","18:02:52", "02/01/2025",
"LASC11", "R$109.39","18:02:53", "02/01/2025",
"LASC11", "R$109.39","18:02:55", "02/01/2025",
"LASC11", "R$109.39","18:02:55", "02/01/2025",
"LFTT11", "R$8.17","18:02:56", "02/01/2025",
"MMVE11", "R$161.74","18:02:59", "02/01/2025",
"MCRE11", "R$7.78","18:03:00", "02/01/2025",
"MCRE11", "R$7.78","18:03:01", "02/01/2025",
"MCRE11", "R$7.78","18:03:02", "02/01/2025",
"MCRE11", "R$7.78","18:03:03", "02/01/2025",
"MCRE11", "R$7.78","18:03:04", "02/01/2025",
"MCRE11", "R$7.78","18:03:04", "02/01/2025",
"SHOP11", "R$54.49","18:03:06", "02/01/2025",
"SHOP11", "R$54.49","18:03:06", "02/01/2025",
"SHOP11", "R$54.49","18:03:07", "02/01/2025",
"NCRI11", "R$8.59","18:03:08", "02/01/2025",
"NCRI11", "R$8.59","18:03:09", "02/01/2025",
"NCRI11", "R$8.59","18:03:10", "02/01/2025",
"NCRI11", "R$8.59","18:03:11", "02/01/2025",
"NVIF11", "R$0.00","18:03:14", "02/01/2025",
"NVIF11", "R$0.00","18:03:14", "02/01/2025",
"ARRI11", "R$7.92","18:03:15", "02/01/2025",
"OUJP11", "R$71.35","18:03:18", "02/01/2025",
"PNCR11", "R$70.20","18:03:20", "02/01/2025",
"PNCR11", "R$70.20","18:03:20", "02/01/2025",
"PMIS11", "R$7.58","18:03:23", "02/01/2025",
"PMIS11", "R$7.58","18:03:24", "02/01/2025",
"PATC11", "R$34.49","18:03:27", "02/01/2025",
"HGFF11", "R$69.88","18:03:30", "02/01/2025",
"HGFF11", "R$69.88","18:03:31", "02/01/2025",
"HGCR11", "R$93.67","18:03:34", "02/01/2025",
"PORD11", "R$7.68","18:03:36", "02/01/2025",
"PLRI11", "R$12.64","18:03:38", "02/01/2025",
"PLRI11", "R$12.64","18:03:39", "02/01/2025",
"PRSV11", "R$55.16","18:03:40", "02/01/2025",
"PRSV11", "R$55.16","18:03:41", "02/01/2025",
"PRSV11", "R$55.16","18:03:42", "02/01/2025",
"PRSV11", "R$55.16","18:03:42", "02/01/2025",
"RZZV11", "R$0.00","18:03:44", "02/01/2025",
"RZZR11", "R$148.89","18:03:45", "02/01/2025",
"RZZR11", "R$148.89","18:03:46", "02/01/2025",
"FIIP11", "R$134.69","18:03:49", "02/01/2025",
"RBRF11", "R$6.52","18:03:54", "02/01/2025",
"RBRF11", "R$6.52","18:03:55", "02/01/2025",
"RBRL11", "R$68.76","18:03:58", "02/01/2025",
"RPRI11", "R$81.82","18:04:00", "02/01/2025",
"RMAI11", "R$85.00","18:04:03", "02/01/2025",
"RINV11", "R$97.40","18:04:04", "02/01/2025",
"RBOP11", "R$235.01","18:04:11", "02/01/2025",
"RZAK11", "R$76.75","18:04:13", "02/01/2025",
"RZAT11", "R$85.85","18:04:15", "02/01/2025",
"RZAT11", "R$85.85","18:04:16", "02/01/2025",
"RZAT11", "R$85.85","18:04:17", "02/01/2025",
"SARE11", "R$3.65","18:04:18", "02/01/2025",
"SPTW11", "R$33.20","18:04:25", "02/01/2025",
"DVLP11", "R$129.70","18:04:29", "02/01/2025",
"PMFO11", "R$90.22","18:04:30", "02/01/2025",
"PMFO11", "R$90.22","18:04:31", "02/01/2025",
"PMFO11", "R$90.22","18:04:31", "02/01/2025",
"PMFO11", "R$90.22","18:04:32", "02/01/2025",
"PMFO11", "R$90.22","18:04:33", "02/01/2025",
"STRX11", "R$168.00","18:04:34", "02/01/2025",
"SNCI11", "R$86.19","18:04:37", "02/01/2025",
"SPMO11", "R$144.00","18:04:39", "02/01/2025",
"TSER11", "R$100.00","18:04:43", "02/01/2025",
"VOTS11", "R$72.96","18:04:43", "02/01/2025",
"TJKB11", "R$270.00","18:04:44", "02/01/2025",
"TJKB11", "R$270.00","18:04:45", "02/01/2025",
"TSNC11", "R$82.01","18:04:46", "02/01/2025",
"TRXB11", "R$136.00","18:04:49", "02/01/2025",
"URPR11", "R$56.81","18:04:51", "02/01/2025",
"VGHF11", "R$7.36","18:04:58", "02/01/2025",
"RVBI11", "R$64.58","18:05:02", "02/01/2025",
"VCJR11", "R$75.87","18:05:02", "02/01/2025",
"VCJR11", "R$75.87","18:05:04", "02/01/2025",
"VCJR11", "R$75.87","18:05:04", "02/01/2025",
"VLJS11", "R$0.00","18:05:06", "02/01/2025",
"VLJS11", "R$0.00","18:05:07", "02/01/2025",
"VSLH11", "R$3.07","18:05:08", "02/01/2025",
"VSLH11", "R$3.07","18:05:08", "02/01/2025",
"VSLH11", "R$3.07","18:05:09", "02/01/2025",
"VIUR11", "R$5.82","18:05:11", "02/01/2025",
"VIFI11", "R$6.69","18:05:12", "02/01/2025",
"VILG11", "R$73.65","18:05:14", "02/01/2025",
"VILG11", "R$73.65","18:05:15", "02/01/2025",
